"COLECTIVO","PROGRAMA","CIF","ENTIDAD","PROYECTO","IMPORTE",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28821254","ALDEAS INFANTILES SOS DE ESPAÑA","CENTRO DE DÍA EN LA LAGUNA (SANTA CRUZ DE TENERIFE)",161000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28821254","ALDEAS INFANTILES SOS DE ESPAÑA","LOS VALORES DESDE ALDEAS INFANTILES: EL VALOR DE REFLEXIONAR, COLABORAR Y COMPARTIR",30000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28659308","ALIANZA CRISTIANA DE JÓVENES DE LA YMCA","CENTROS DE ANIMACIÓN Y EDUCACIÓN EN EL TIEMPO LIBRE INFANTIL",139880,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-80672694","APOYO POSITIVO","ATENCIÓN A LA INFANCIA, ADOLESCENCIA, JUVENTUD Y FAMILIA AFECTADA POR VIH",45900,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-08828998","ASOCIACIÓN CASAL DELS INFANTS PER L'ACCIO SOCIAL ALS BARRIS","PROMOCIÓN DE CALIDAD DE VIDA INFANTIL Y FAMILIAR EN EL RAVAL DE BARCELONA",260000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-80054760","ASOCIACIÓN CENTRO TRAMA","CENTRO DE DÍA PARA MENORES Y ADOLESCENTES CON PROBLEMAS DE INTEGRACIÓN SOCIAL","41236,56",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28734143","ASOCIACIÓN DE COOPERACIÓN Y APOYO SOCIAL A LA INTEGRACIÓN ESCOLAR","MÓDULO DOPOSCUOLA ORCASITAS",59400,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28197564","ASOCIACIÓN ESPAÑOLA CONTRA EL CÁNCER","ATENCIÓN Y ANIMACIÓN DEL TIEMPO LIBRE EN NIÑOS HOSPITALIZADOS DE LARGA ESTANCIA",203040,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-24061707","ASOCIACIÓN LEONESA SIMONE DE BEAUVOIR","CENTRO DE DÍA PARA MENORES",44335,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-60378056","ASOCIACIÓN PARA EL ESTUDIO Y PROMOCIÓN DEL BIENESTAR SOCIAL","ESPACIO SOLIDARIO PARA LA INTEGRACIÓN",45360,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-61838280","ASOCIACIÓN WAFAE","CONCIENCIACIÓN SOBRE LOS DERECHOS DE LA INFANCIA Y FOMENTO DE LA PARTICIPACIÓN SOCIAL DE MENORES",45000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","R-02800560-A","CÁRITAS ESPAÑOLA","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","593905,48",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-34102160","COLECTIVOS DE ACCIÓN SOLIDARIA","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","127929,56",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","R-07800985-I","COMPAÑÍA DE LAS HIJAS DE SAN VICENTE DE PAÚL. COMPAÑÍA DE ESPAÑA","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",42190,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-46949376","CONFEDERACIÓN DE CENTROS JUVENILES DON BOSCO DE ESPAÑA","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",118800,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28848505","CONFEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PADRES Y MADRES DE ALUMNOS","OCIO Y TIEMPO LIBRE",41816,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28848505","CONFEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PADRES Y MADRES DE ALUMNOS","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA",40000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28848505","CONFEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PADRES Y MADRES DE ALUMNOS","ACCIONES DE SENSIBILIZACIÓN SOBRE LA CONVENCIÓN DE LOS DERECHOS DEL NIÑO DIRIGIDAS A POTENCIAR SUS DERECHOS",30000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-82803578","COORDINADORA ESTATAL DE PLATAFORMAS SOCIALES SALESIANAS","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",99540,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","Q-02866001-G","CRUZ ROJA ESPAÑOLA","INFANCIA HOSPITALIZADA","425404,46",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","Q-02866001-G","CRUZ ROJA ESPAÑOLA","CENTROS DE MEDIACIÓN SOCIAL","429103,78",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","Q-02866001-G","CRUZ ROJA ESPAÑOLA","PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA Y LAS FAMILIAS A TRAVÉS DE LAS FRONTERAS",200000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","V-81902926","ENTIDAD RELIGIOSA ASOCIATIVA DIACONÍA","ACTÚA: SONRISAS ANTICRISIS",23100,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-08983199","ESCOLTES CATALANS","COMPLEMENTARIEDAD DE LA OFERTA DE OCIO EDUCATIVO PARA LA INFANCIA",18400,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-08773517","ESPLAIS CATALANS","INFANCIA EN BARRIOS",64202,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-80508682","FEDERACIÓN DE ASOCIACIONES DE CONSUMIDORES Y USUARIOS DE LOS MEDIOS","PROYECTO DE SENSIBILIZACIÓN: LA PARTICIPACIÓN INFANTIL",16000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28498954","FEDERACIÓN DE ASOCIACIONES DE SCOUTS DE ESPAÑA (ASDE)","EXPLORADORES DE ESPAÑA ANIMACIÓN Y EDUCACIÓN EN EL TIEMPO LIBRE INFANTIL",157360,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28876852","FEDERACIÓN DE COLECTIVOS DE EDUCACIÓN PERMANENTE DE ADULTOS","PREVENCIÓN INFANTIL MEDIANTE EL JUEGO",91800,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-82237827","FEDERACIÓN INJUCAM PARA LA PROMOCIÓN DE LA INFANCIA Y JUVENTUD","INTERVENCIÓN CON INFANCIA","226022,79",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-61096368","FUNDACIÓ CATALANA DE L'ESPLAI","EDUCACIÓN EN EL TIEMPO LIBRE PARA LA PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",1087035,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","V-08667479","FUNDACIÓ CENTRE OBERT JOAN SALVADOR GAVINA","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y FAMILIAR",20000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","R-05800395-E","FUNDACIÓ PÍA AUTÓNOMA INSTITUT PERE TARRÉS D’EDUCACIÓ EN L’ESPLAI (FUNDACIÓ PERE TARRÉS)","PROMOCIÓN Y CREACIÓN DE CENTROS DIARIOS DE EDUCACIÓN EN EL TIEMPO LIBRE",75382,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","R-05800395-E","FUNDACIÓ PÍA AUTÓNOMA INSTITUT PERE TARRÉS D’EDUCACIÓ EN L’ESPLAI (FUNDACIÓ PERE TARRÉS)","ACTIVIDADES DE VACACIONES Y DE CONVIVENCIA PARA NIÑOS CON DIFICULTADES SOCIALES Y/O PSICOSOCIALES",999480,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-62494026","FUNDACIÓ SOCIAL DEL RAVAL","EL RINCÓN DE LA INFANCIA, ADOLESCENCIA Y JUVENTUD",11880,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-23633266","FUNDACIÓN ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA","PROGRAMA PARA LA INFANCIA Y LA FAMILIA EN ANDUJAR",56160,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-23633266","FUNDACIÓN ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA","INTERACCIÓN ESCUELA-FAMILIA: SEVILLA PATRONATO VEREDA",30000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-26341529","FUNDACIÓN PIONEROS","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y FAMILIAR",109404,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-61740627","FUNDACIÓN PRIVADA MARIANAO-CASAL INFANTIL I JUVENIL DE MARIANAO","MARIANAO 25 AÑOS HACIENDO COMUNIDAD",161840,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-79362497","FUNDACIÓN SAVE THE CHILDREN","DINAMIZACIÓN DE CENTROS EDUCATIVOS EN HORARIO EXTRAESCOLAR",87454,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-79362497","FUNDACIÓN SAVE THE CHILDREN","OCIO Y TIEMPO LIBRE PARA GRUPOS INFANTILES DE INTERÉS SOCIAL",155876,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-79362497","FUNDACIÓN SAVE THE CHILDREN","ATENCIÓN SOCIOEDUCATIVA DOMICILIARIA",87093,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28979136","FUNDACIÓN TOMILLO","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",75884,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-84451087","FUNDACIÓN UNICEF","COMITÉ ESPAÑOL CIUDADES AMIGAS DE LA INFANCIA",91000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-84451087","FUNDACIÓN UNICEF","COMITÉ ESPAÑOL SEGUIMIENTO DE LA CONVENCIÓN SOBRE LOS DERECHOS DEL NIÑO EN ESPAÑA: CALIDAD DE VIDA Y BIENESTAR INFANTIL SEGÚN LOS NIÑOS",30000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-82260282","FUNDACIÓN YEHUDI MENUHIN ESPAÑA","PROGRAMA MUS-E DE INTEGRACIÓN DE NIÑOS/NIÑAS DESFAVORECIDOS",55080,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28672525","JUVENTUDES MARIANAS VICENCIANAS","PROMOCIÓN INFANTIL Y JUVENIL ""CENTRO CONTIGO""",41500,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-78519543","LIGA ESPAÑOLA DE LA EDUCACIÓN Y LA CULTURA POPULAR","LUDOTECAS","91289,72",,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-78519543","LIGA ESPAÑOLA DE LA EDUCACIÓN Y LA CULTURA POPULAR","RAYUELA: SENSIBILIZACIÓN, FORMACIÓN Y DIVULGACIÓN DE LOS DERECHOS DE LA INFANCIA A TRAVÉS DE UNA PÁGINA WEB",38000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28838001","MOVIMIENTO POR LA PAZ EL DESARME Y LA LIBERTAD","INTEGRACIÓN EN CENTROS ESCOLARES DE PRIMARIA",43384,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-08754210","MOVIMIENTO SCOUT CATÓLICO","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",130960,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28665289","MUCHACHOS CIUDADESCUELAS DE FORMACIÓN SOCIOCULTURAL","PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",37800,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-81923146","PLATAFORMA DE ORGANIZACIONES DE INFANCIA","PARTICIPACIÓN INFANTIL EN LA POLÍTICA NACIONAL DE INFANCIA",40940,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-81923146","PLATAFORMA DE ORGANIZACIONES DE INFANCIA","CIBERCORRESPONSALES. RED SOCIAL EDUCATIVA PARA LA PARTICIPACIÓN INFANTIL-JUVENIL",97760,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-81923146","PLATAFORMA DE ORGANIZACIONES DE INFANCIA","DÍA UNIVERSAL DE LOS DERECHOS DE LA INFANCIA",35000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-83208488","PROTÉGELES","TIC-RESPONSABLE 2010",30000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-05138516","RED ESPAÑOLA DE DESARROLLO RURAL","CALIDAD VIDA INFANTIL",9914,,,
"INFANCIA Y FAMILIA","PROGRAMAS DE PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL Y PROTECCIÓN DE LOS DERECHOS DE LA INFANCIA","G-28256667","SOCIEDAD DE SAN VICENTE DE PAÚL EN ESPAÑA","INTEGRACIÓN SOCIAL Y FAMILIAR DE MENORES EN SITUACIÓN DE RIESGO Y PROMOCIÓN DE LA CALIDAD DE VIDA INFANTIL",20000,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-00000002","AGRUPACIÓN DE ASOCIACIÓN CASAL DELS INFANTS PER L'ACCIÓ SOCIAL ALS BARRIS Y LA FUNDACIÓN TOMILLO","SERVICIO DE TRANSICIÓN A LA AUTONOMÍA PARA JÓVENES EXTUTELADOS",50000,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-28821254","ALDEAS INFANTILES SOS DE ESPAÑA","MANTENIMIENTO DE CENTROS RESIDENCIALES PARA JÓVENES",140000,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-80054760","ASOCIACIÓN CENTRO TRAMA","APLICACIÓN DE MEDIDAS ALTERNATIVAS AL INTERNAMIENTO DE MENORES EN CONFLICTO SOCIAL",120319,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-80054760","ASOCIACIÓN CENTRO TRAMA","CENTRO DE DÍA ""ALBUFERA"" PARA EL TRATAMIENTO PSIQUIÁTRICO DE MENORES INFRACTORES","76044,96",,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-28485779","ASOCIACIÓN MENSAJEROS DE LA PAZ","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN DIFICULTAD SOCIAL",47340,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-81861858","ASOCIACIÓN NUEVO FUTURO SIRIO","HOGARES ESPECIALIZADOS PARA NIÑOS Y ADOLESCENTES CON PROBLEMAS GRAVES DE SALUD MENTAL",52920,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","G-11014909","ASOCIACIÓN PARA LA ATENCIÓN A CON NECESIDADES SOCIOEDUCATIVAS ESPECIALES- AFANAS EL PUERTO Y BAHÍA","EQUIPAMIENTOS RESIDENCIALES: CENTROS DE MENORES",50000,,,
"INFANCIA Y FAMILIA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTOS","R-02800560-A","CÁRITAS ESPAÑOLA","EQUIPAMIENTOS RESIDENCIALES PARA MENORES EN SITUACIÓN DE DIFICULTAD Y/O CONFLICTO SOCIAL Y PROGRAMAS PARA LA EJECUCIÓN DE MEDIDAS EN MEDIO ABIERTO",63690,,,
